Sl No	Question	Answer	Reference
41035	How long did Jesus fast in the wilderness?	Jesus fasted forty days and forty nights in the wilderness. 	Matthew 4:2
41036	What was the first temptation that the devil presented to Jesus?	The devil tempted Jesus to turn a stone into bread. 	Matthew 4:3
41037	What was Jesus' answer to the first temptation?	Jesus said that man shall not live by bread alone, but by every word that comes out of the mouth of God. 	Matthew 4:4
41038	What was the second temptation that the devil presented to Jesus?	The devil tempted Jesus to throw himself down from the temple. 	Matthew 4:5
41039	What was the second temptation that the devil presented to Jesus?	The devil tempted Jesus to throw himself down from the temple. 	Matthew 4:6
41040	What was Jesus' answer to the second temptation?	Jesus said that you must not test the Lord your God. 	Matthew 4:7
41041	What was the third temptation that the devil presented to Jesus?	The devil tempted Jesus to worship him in return for all the kingdoms of the world. 	Matthew 4:8
41042	What was the third temptation that the devil presented to Jesus?	The devil tempted Jesus to worship him in return for all the kingdoms of the world. 	Matthew 4:9
41043	What was Jesus' answer to the third temptation?	Jesus said that you must worship the Lord your God and must serve him only. 	Matthew 4:10-14
41044	What was fulfilled by Jesus' move to Capernaum in Galilee?	The prophecy of Isaiah was fulfilled which said that the people in Galilee would see a great light. 	Matthew 4:15
41045	What was fulfilled by Jesus' move to Capernaum in Galilee?	The prophecy of Isaiah was fulfilled which said that the people in Galilee would see a great light. 	Matthew 4:16
41046	What message did Jesus then begin to preach?	Jesus preached, "Repent, for the kingdom of heaven has drawn near". 	Matthew 4:17
41047	How did Peter and Andrew make their living?	Peter and Andrew were fisherman. 	Matthew 4:18
41048	What did Jesus say he would make Peter and Andrew?	Jesus said that he would make Peter and Andrew fishers of men. 	Matthew 4:19-20
41049	How did James and John make their living?	James and John were fisherman. 	Matthew 4:21-22
41050	At this time, where did Jesus go to teach?	Jesus taught in the synagogues of Galilee. 	Matthew 4:23
41051	What kind of people were brought to Jesus, and what did Jesus do with them?	All those who were sick and demon possessed were brought to Jesus, and Jesus healed them. 	Matthew 4:24
41052	How many people were following Jesus at this time?	Great multitudes were following Jesus at this time. 	Matthew 4:25
41053	Why are the poor in spirit blessed?	The poor in spirit are blessed because theirs is the kingdom of heaven. 	Matthew 5:3
41054	Why are those who mourn blessed?	Those who mourn are blessed because they will be comforted. 	Matthew 5:4
41055	Why are the meek blessed?	The meek are blessed because they will inherit the earth. 	Matthew 5:5
41056	Why are those who hunger and thirst for righteousness blessed?	Those who hunger and thirst for righteousness are blessed because they will be filled. 	Matthew 5:6-10
41057	Why are those who are insulted and persecuted for Jesus' sake blessed?	Those who are insulted and persecuted for Jesus' sake are blessed because great is their reward in heaven. 	Matthew 5:11
41058	Why are those who are insulted and persecuted for Jesus' sake blessed?	Those who are insulted and persecuted for Jesus' sake are blessed because great is their reward in heaven. 	Matthew 5:12-14
41059	How do believers let their light shine before people?	Believers let their light shine before people by doing good deeds. 	Matthew 5:15
41060	How do believers let their light shine before people?	Believers let their light shine before people by doing good deeds. 	Matthew 5:16
41061	What did Jesus come to do with the law and the prophets of the Old Testament?	Jesus came to fulfill the law and the prophets of the Old Testament. 	Matthew 5:17-18
41062	Who will be called great in the kingdom of heaven?	Those who keep God's commandments and who teach them to others will be called great in the kingdom of heaven. 	Matthew 5:19-20
41063	Jesus taught that not only those who murder are in danger of the judgment, but also those who do what?	Jesus taught that not only those who murder, but also those who are angry with their brother are in danger of the judgment. 	Matthew 5:21
41064	Jesus taught that not only those who murder are in danger of the judgment, but also those who do what?	Jesus taught that not only those who murder, but also those who are angry with their brother are in danger of the judgment. 	Matthew 5:22
41065	What did Jesus teach we should do if our brother has anything against us?	Jesus taught that we should go and be reconciled to our brother if he has anything against us. 	Matthew 5:23
41066	What did Jesus teach we should do if our brother has anything against us?	Jesus taught that we should go and be reconciled to our brother if he has anything against us. 	Matthew 5:24
41067	What did Jesus teach we should do with our accuser before reaching court?	Jesus taught that we should try to come to an agreement with our accuser before reaching court. 	Matthew 5:25-26
41068	Jesus taught that it was not only wrong to commit adultery, but also to do what?	Jesus taught that it was not only wrong to commit adultery, but also to lust after a woman. 	Matthew 5:27
41069	Jesus taught that it was not only wrong to commit adultery, but also to do what?	Jesus taught that it was not only wrong to commit adultery, but also to lust after a woman. 	Matthew 5:28
41070	What did Jesus say we must do with anything that causes us to sin?	Jesus said that we must get rid of anything that causes us to sin. 	Matthew 5:29
41071	What did Jesus say we must do with anything that causes us to sin?	Jesus said that we must get rid of anything that causes us to sin. 	Matthew 5:30-31
41072	For what cause did Jesus allow divorce?	For the cause of fornication did Jesus allow divorce. 	Matthew 5:32-36
41073	Instead of swearing oaths to various earthly things, what does Jesus say our speech should be like?	Jesus says that instead of swearing oaths by all these things we should let our speech be, "Yes, yes," or "No, no". 	Matthew 5:37
41074	What did Jesus teach we should do with one who is evil toward us?	Jesus taught that we should not resist one who is evil toward us. 	Matthew 5:38
41075	What did Jesus teach we should do with one who is evil toward us?	Jesus taught that we should not resist one who is evil toward us. 	Matthew 5:39-42
41076	What did Jesus teach we should do with our enemies and with those who persecute us?	Jesus taught that we should love and pray for our enemies and for those who persecute us. 	Matthew 5:43
41077	What did Jesus teach we should do with our enemies and with those who persecute us?	Jesus taught that we should love and pray for our enemies and for those who persecute us. 	Matthew 5:44-45
41078	Why did Jesus say that we must not only love those who love us, but also love our enemies?	Jesus said that if we only love those who love us, we do not receive a reward because we are only doing what the Gentiles already do. 	Matthew 5:46
41079	Why did Jesus say that we must not only love those who love us, but also love our enemies?	Jesus said that if we only love those who love us, we do not receive a reward because we are only doing what the Gentiles already do. 	Matthew 5:47-48
41080	What is the reward of those who do their acts of righteousness to be seen by people?	Those who do their acts of righteousness to be seen by people receive the praise of people as their reward. 	Matthew 6:2
41081	How should we do our acts of righteousness in order to be rewarded by the Father?	We should do our acts of righteousness in private. 	Matthew 6:3
41082	How should we do our acts of righteousness in order to be rewarded by the Father?	We should do our acts of righteousness in private. 	Matthew 6:4
41083	What reward do those receive who are hypocrites praying to be seen by people?	Those who are hypocrites praying to be seen by people receive their reward from people. 	Matthew 6:5
41084	Those who pray in private receive a reward from whom?	Those who pray in private receive a reward from the Father. 	Matthew 6:6
41085	Why does Jesus say we should not pray with useless repetitions?	Jesus says we should not pray with useless repetitions because the Father knows what we need before we ask him. 	Matthew 6:7-9
41086	Where should we ask the Father that his will be done?	We should ask the Father that his will be done on earth, as it is already done in heaven. 	Matthew 6:10-14
41087	If we do not forgive others of their debts to us, what will the Father do?	If we do not forgive others of their debts to us, the Father will not forgive our debts. 	Matthew 6:15
41088	How should we fast so that we receive a reward from the Father?	We should fast without appearing to people as fasting, and then the Father will reward us. 	Matthew 6:16
41089	How should we fast so that we receive a reward from the Father?	We should fast without appearing to people as fasting, and then the Father will reward us. 	Matthew 6:17
41090	How should we fast so that we receive a reward from the Father?	We should fast without appearing to people as fasting, and then the Father will reward us. 	Matthew 6:18
41091	Where should we store up treasure, and why?	We should store up treasure in heaven, because it cannot be destroyed or stolen there. 	Matthew 6:19
41092	Where should we store up treasure, and why?	We should store up treasure in heaven, because it cannot be destroyed or stolen there. 	Matthew 6:20
41093	What will be where our treasure is?	Our heart will be where our treasure is. 	Matthew 6:21-23
41094	Which two masters must we choose between?	We must choose between God and wealth as our masters. 	Matthew 6:24
41095	Why should we not worry about food, drink, and clothes?	We should not worry about food, drink, and clothes because the Father even takes care of the birds, and we are of much more value than they. 	Matthew 6:25
41096	Why should we not worry about food, drink, and clothes?	We should not worry about food, drink, and clothes because the Father even takes care of the birds, and we are of much more value than they. 	Matthew 6:26
41097	What does Jesus remind us we cannot do by being anxious?	Jesus reminds us that we cannot add one cubit to our lifespan by being anxious. 	Matthew 6:27-32
41098	What must we seek first, and all our earthly needs will then be provided?	We must seek first the kingdom and the Father's righteousness, and then all our earthly needs will be provided. 	Matthew 6:33-34
41099	What must we do first before we can clearly see to help our brother?	We must first judge ourselves and remove the log from our own eye before we can help our brother. 	Matthew 7:3
41100	What must we do first before we can clearly see to help our brother?	We must first judge ourselves and remove the log from our own eye before we can help our brother. 	Matthew 7:4
41101	What must we do first before we can clearly see to help our brother?	We must first judge ourselves and remove the log from our own eye before we can help our brother. 	Matthew 7:5
41102	What may happen if you give what is holy to the dogs?	If you give what is holy to the dogs, they may trample it and then turn and tear you to pieces. 	Matthew 7:6-7
41103	What must we do to receive from the Father?	We must ask, seek, and knock in order to receive from the Father. 	Matthew 7:8-10
41104	What does the Father give to those who ask him?	The Father gives good things to those who ask him. 	Matthew 7:11
41105	What do the law and the prophets teach us about how to treat others?	The law and prophets teach us to do to others what we want people to do to us. 	Matthew 7:12
41106	To what does the broad way lead?	The broad way leads to destruction. 	Matthew 7:13
41107	To what does the narrow way lead?	The narrow way leads to life. 	Matthew 7:14
41108	How can we recognize false prophets?	We can recognize false prophets by the fruit of their lives. 	Matthew 7:15
41109	How can we recognize false prophets?	We can recognize false prophets by the fruit of their lives. 	Matthew 7:16-20
41110	Who will enter into the kingdom of heaven?	Those who do the will of the Father will enter the kingdom of heaven. 	Matthew 7:21
41111	What will Jesus say to many who have prophesied, driven out demons, and done miracles in Jesus' name?	Jesus will say to them, "I never knew you! Get away from me, you evil-doers"! 	Matthew 7:22
41112	What will Jesus say to many who have prophesied, driven out demons, and done miracles in Jesus' name?	Jesus will say to them, "I never knew you! Get away from me, you evil-doers"! 	Matthew 7:23
41113	Who is like the wise man in Jesus' parable of the two houses?	One who hears Jesus' words and obeys them is like the wise man. 	Matthew 7:24-25
41114	Who is like the foolish man in Jesus' parable of the two houses?	One who hears Jesus' words and does not obey them is like the foolish man. 	Matthew 7:26-28
41115	How did Jesus teach the people compared to how the scribes taught?	Jesus taught the people as one who had authority, not as the scribes taught. 	Matthew 7:29
41116	Why did Jesus say the healed leper should go to the priest and offer the gift Moses commanded?	Jesus told the healed leper to go to the priest for a testimony to them. 	Matthew 8:4-6
41117	What did Jesus say he would do when the centurion told him about his paralyzed servant?	Jesus said he would go to the centurion's house and heal the servant. 	Matthew 8:7
41118	Why did the centurion say that Jesus didn't need to come to his house?	The centurion said that he was not worthy to have Jesus in his house, and that Jesus could just say the word and heal the servant. 	Matthew 8:8-9
41119	What compliment did Jesus give the centurion?	Jesus said that not even in Israel had he found anyone with so much faith as the centurion. 	Matthew 8:10
41120	Who did Jesus say would come and recline at table in the kingdom of heaven?	Jesus said that many would come from the east and the west and recline at table in the kingdom of heaven. 	Matthew 8:11
41121	Who did Jesus say would be thrown into outer darkness where there is weeping and gnashing of teeth?	Jesus said that the sons of the kingdom would be thrown into outer darkness. 	Matthew 8:12-13
41122	Who did Jesus heal when he entered Peter's house?	Jesus healed Peter's mother-in-law when he entered Peter's house. 	Matthew 8:14
41123	Who did Jesus heal when he entered Peter's house?	Jesus healed Peter's mother-in-law when he entered Peter's house. 	Matthew 8:15-16
41124	What prophecy from Isaiah was fulfilled as Jesus healed all who were demon-possessed and sick?	Isaiah's prophecy, "He himself took our sickness and bore our diseases," was fulfilled. 	Matthew 8:17-19
41125	What did Jesus say about the way he lived when the scribe asked to follow him?	Jesus said that he had no permanent home. 	Matthew 8:20
41126	When a disciple asked to go bury his father before following Jesus, what did Jesus say?	Jesus told the disciple to follow him, and to leave the dead to bury their own dead. 	Matthew 8:21
41127	When a disciple asked to go bury his father before following Jesus, what did Jesus say?	Jesus told the disciple to follow him, and to leave the dead to bury their own dead. 	Matthew 8:22-23
41128	What was Jesus doing in the boat when the great storm arose on the sea?	Jesus was sleeping when the great storm arose on the sea. 	Matthew 8:24-25
41129	When the disciples woke Jesus up because they were afraid of dying, what did Jesus say to them?	Jesus said to the disciples, "Why are you afraid, you of little faith"? 	Matthew 8:26
41130	Why were the disciples marveling at Jesus after there was calm?	The disciples marveled at Jesus because the winds and the sea obeyed him. 	Matthew 8:27
41131	What kind of men met Jesus when he came to the country of the Gadarenes?	Jesus met two demon-possessed men who were very violent. 	Matthew 8:28
41132	What was the concern of the demons speaking through the men to Jesus?	The demons were concerned that Jesus had come to torment them before the set time. 	Matthew 8:29-31
41133	What happened when Jesus cast out the demons?	When Jesus cast out the demons, they entered a herd of pigs and the pigs rushed into the sea and perished. 	Matthew 8:32-33
41134	What did the people beg Jesus to do when they came out of the city to meet him?	The people begged Jesus to leave their region. 	Matthew 8:34
41135	Why did some of the scribes think that Jesus was blaspheming God?	Some of the scribes thought that Jesus was blaspheming God because Jesus told the paralyzed man that his sins were forgiven. 	Matthew 9:3
41136	Why did some of the scribes think that Jesus was blaspheming God?	Some of the scribes thought that Jesus was blaspheming God because Jesus told the paralyzed man that his sins were forgiven. 	Matthew 9:4
41137	Why did some of the scribes think that Jesus was blaspheming God?	Some of the scribes thought that Jesus was blaspheming God because Jesus told the paralyzed man that his sins were forgiven. 	Matthew 9:5
41138	Why did Jesus say he had told the paralytic that his sins were forgiven, instead of telling him to get up and walk?	Jesus had told the paralytic that his sins were forgiven to demonstrate that he had authority on earth to forgive sins. 	Matthew 9:6-7
41139	Why did the people praise God when they saw the paralytic man's sins forgiven and his body healed?	They were overawed and praised God, who had given such authority to men. 	Matthew 9:8
41140	What was Matthew's occupation before he followed Jesus?	Matthew was a tax collector before he followed Jesus. 	Matthew 9:9
41141	With whom did Jesus and his disciples eat?	Jesus and his disciples ate with tax collectors and sinful people. 	Matthew 9:10-12
41142	Who did Jesus say he came to call to repentance?	Jesus said he came to call sinners to repentance. 	Matthew 9:13-14
41143	Why did Jesus say his disciples were not fasting?	Jesus said his disciples were not fasting because he was still with them. 	Matthew 9:15-19
41144	What did the woman with severe bleeding do, and why?	The woman with severe bleeding touched the edge of Jesus' garment thinking that if she only touched his garment, she would be made well. 	Matthew 9:20
41145	What did the woman with severe bleeding do, and why?	The woman with severe bleeding touched the edge of Jesus' garment thinking that if she only touched his garment, she would be made well. 	Matthew 9:21
41146	What did Jesus say had made the woman with severe bleeding well?	Jesus said that the woman with severe bleeding had been made well by her faith. 	Matthew 9:22-23
41147	Why did the people laugh at Jesus when he entered the Jewish official's house?	The people laughed at Jesus because Jesus said that the girl was not dead, but sleeping. 	Matthew 9:24-25
41148	What happened after Jesus raised the girl from the dead?	News about Jesus raising the girl from the dead spread into all that region. 	Matthew 9:26
41149	What did the two blind men keep shouting at Jesus?	The two blind men kept shouting, "Have mercy on us, Son of David"! 	Matthew 9:27-28
41150	Jesus healed the two blind men according to what?	Jesus healed the two blind men according to their faith. 	Matthew 9:29-33
41151	After Jesus healed the mute man, what accusation did the Pharisees make against him?	The Pharisees accused Jesus of driving out demons by the ruler of demons. 	Matthew 9:34-35
41152	Why did Jesus have compassion on the crowds?	Jesus had compassion on the crowds because they were worried and confused, and were like sheep without a shepherd. 	Matthew 9:36-37
41153	For what did Jesus tell his disciples to pray urgently?	Jesus told his disciples to pray urgently that the Lord of the harvest send out laborers into his harvest. 	Matthew 9:38
41154	What authority did Jesus give his twelve disciples?	Jesus gave his twelve disciples authority to drive out unclean spirits, and to heal all kinds of diseases. 	Matthew 10:1-3
41155	What is the name of the disciple who would betray Jesus?	The name of the disciple who would betray Jesus was Judas Iscariot. 	Matthew 10:4-5
41156	Where did Jesus send his disciples at this time?	Jesus sent his disciples only to the lost sheep of the house of Israel. 	Matthew 10:6-8
41157	Were the disciples to carry any money or extra clothes with them?	No, the disciples were not to carry any money or extra clothes with them. 	Matthew 10:9
41158	Were the disciples to carry any money or extra clothes with them?	No, the disciples were not to carry any money or extra clothes with them. 	Matthew 10:10
41159	Where were the disciples to stay when they went from village to village?	The disciples were to find someone worthy in the village and stay there until they left. 	Matthew 10:11-13
41160	What would be the judgment on the cities that did not receive the disciples or listen to their words?	The judgment on the cities that did not receive the disciples or listen to their words would be worse than the judgment on Sodom and Gomorrah. 	Matthew 10:14
41161	What would be the judgment on the cities that did not receive the disciples or listen to their words?	The judgment on the cities that did not receive the disciples or listen to their words would be worse than the judgment on Sodom and Gomorrah. 	Matthew 10:15-16
41162	What did Jesus say people would do to the disciples?	Jesus said that people would deliver the disciples up to councils, whip them, and bring them before governors and kings. 	Matthew 10:17
41163	What did Jesus say people would do to the disciples?	Jesus said that people would deliver the disciples up to councils, whip them, and bring them before governors and kings. 	Matthew 10:18-19
41164	Who would speak through the disciples when they were delivered up?	The Spirit of the Father would speak through the disciples when they were delivered up. 	Matthew 10:20-21
41165	Who did Jesus say would be saved in the end?	Jesus said that those who endure to the end will be saved. 	Matthew 10:22-23
41166	How would those who hated Jesus treat Jesus' disciples?	Those who hated Jesus would also hate his disciples. 	Matthew 10:24
41167	How would those who hated Jesus treat Jesus' disciples?	Those who hated Jesus would also hate his disciples. 	Matthew 10:25-27
41168	Who did Jesus say we are not to fear?	We are not to fear those who kill the body but are unable to kill the soul. 	Matthew 10:28-31
41169	What will Jesus do for everyone who confesses him before men?	Jesus will confess him before the Father in heaven. 	Matthew 10:32
41170	What will Jesus do for everyone who denies him before men?	Jesus will deny him before the Father in heaven. 	Matthew 10:33
41171	What kind of divisions did Jesus say he came to bring?	Jesus said that he came to bring divisions even within households. 	Matthew 10:34
41172	What kind of divisions did Jesus say he came to bring?	Jesus said that he came to bring divisions even within households. 	Matthew 10:35
41173	What kind of divisions did Jesus say he came to bring?	Jesus said that he came to bring divisions even within households. 	Matthew 10:36-38
41174	What will someone find who loses his life for Jesus' sake?	Someone who loses his life for Jesus' sake will find his life. 	Matthew 10:39-41
41175	What will someone receive who gives even a cup of cold water to an unimportant disciple?	Someone who gives even a cup of cold water to an unimportant disciple will receive his reward. 	Matthew 10:42
41176	What did Jesus finish before he departed to teach and preach in the cities?	Jesus finished instructing his twelve disciples before he departed. 	Matthew 11:1-2
41177	What was the message John the Baptist sent to Jesus?	John the Baptist sent the message, "Are you the Coming One, or is there another person we should be looking for"? 	Matthew 11:3-4
41178	What did Jesus say was happening as evidence that he was the Coming One?	Jesus said the sick were being healed, the dead were being raised, and the needy were being told the good news. 	Matthew 11:5
41179	What did Jesus promise for those who found no occasion of stumbling in him?	Jesus promised a blessing for those who found no occasion of stumbling in him. 	Matthew 11:6-8
41180	What did Jesus say was the role John the Baptist played in his life?	Jesus said that John the Baptist was the prophesied messenger who would prepare the way before the Coming One. 	Matthew 11:9
41181	What did Jesus say was the role John the Baptist played in his life?	Jesus said that John the Baptist was the prophesied messenger who would prepare the way before the Coming One. 	Matthew 11:10-13
41182	Who did Jesus say that John the Baptist was?	Jesus said that John the Baptist was Elijah. 	Matthew 11:14-17
41183	What did that generation say about John the Baptist who came not eating bread or drinking wine?	That generation said that John the Baptist had a demon. 	Matthew 11:18
41184	What did that generation say about Jesus who came eating and drinking?	That generation said that Jesus was a glutton and a drunkard, and a friend of tax collectors and sinners. 	Matthew 11:19
41185	What did Jesus declare regarding the cities where his great deeds were done, yet they had not repented?	Jesus rebuked the cities where his great deeds were, yet they had not repented. 	Matthew 11:20-24
41186	Jesus praised the Father for concealing the kingdom of heaven from whom?	Jesus praised the Father for concealing the kingdom of heaven from the wise and understanding. 	Matthew 11:25-26
41187	Who did Jesus say knows the Father?	Jesus said that he knows the Father, and anyone to whom he desires to reveal him. 	Matthew 11:27
41188	To whom did Jesus promise rest?	Jesus promised rest to all who labor and are heavy burdened. 	Matthew 11:28-30
41189	What were Jesus' disciples doing that the Pharisees complained about to him?	The Pharisees complained that Jesus' disciples were plucking heads of grain and eating them, which they believed was unlawful to do on the Sabbath. 	Matthew 12:2-5
41190	Who did Jesus say was greater than the temple?	Jesus said that he was greater than the temple. 	Matthew 12:6-7
41191	What authority does the Son of Man, Jesus, have?	The Son of Man, Jesus, is Lord of the Sabbath. 	Matthew 12:8-9
41192	What question did the Pharisees ask Jesus in the synagogue in front of the man with the dried up hand?	The Pharisees asked Jesus, "Is it lawful to heal on the Sabbath"? 	Matthew 12:10-11
41193	What did Jesus say it was lawful to do on the Sabbath?	Jesus said it was lawful to do good on the Sabbath. 	Matthew 12:12-13
41194	When the Pharisees saw Jesus heal the man with the dried up hand, what did they do?	The Pharisees went out and plotted against him and seeking how they might destroy him. 	Matthew 12:14-17
41195	In Isaiah's prophecy about Jesus, who would hear God's judgment and have confidence in Jesus?	The Gentiles would hear God's judgment and have confidence in Jesus. 	Matthew 12:18
41196	In Isaiah's prophecy about Jesus, what would Jesus not do?	Jesus would not strive, cry aloud, break a bruised reed, or quench smoking flax. 	Matthew 12:19
41197	In Isaiah's prophecy about Jesus, what would Jesus not do?	Jesus would not strive, cry aloud, break a bruised reed, or quench smoking flax. 	Matthew 12:20-25
41198	How did Jesus respond to the accusation that he cast out demons by Beelzebub?	Jesus said that if Satan drives out Satan, then how will Satan's kingdom stand? 	Matthew 12:26-27
41199	What did Jesus say was happening if he was driving out demons by the Spirit of God?	Jesus said that the kingdom of God had come upon them if he was driving out demons by the Spirit of God. 	Matthew 12:28-30
41200	Which sin did Jesus say will not be forgiven?	Jesus said that blasphemy against the Spirit will not be forgiven. 	Matthew 12:31-32
41201	By what is a tree known?	A tree is known by its fruit. 	Matthew 12:33-36
41202	By what did Jesus say the Pharisees would be justified and condemned?	Jesus said that the Pharisees would be justified and condemned by their words. 	Matthew 12:37-38
41203	What sign did Jesus say he would give his generation?	Jesus said he would give his generation the sign of Jonah, being in the heart of the earth three days and three nights. 	Matthew 12:39
41204	What sign did Jesus say he would give his generation?	Jesus said he would give his generation the sign of Jonah, being in the heart of the earth three days and three nights. 	Matthew 12:40
41205	Who did Jesus say was greater than Jonah?	Jesus said that he was greater than Jonah. 	Matthew 12:41
41206	Who did Jesus say was greater than Solomon?	Jesus said that he was greater than Solomon. 	Matthew 12:42
41207	How will Jesus' generation be like a man who has an unclean spirit go away from him?	Jesus' generation will be like a man who has an unclean spirit go away from him, because the unclean spirit returns with seven other spirits and the final condition of the man becomes worse than the first. 	Matthew 12:43
41208	How will Jesus' generation be like a man who has an unclean spirit go away from him?	Jesus' generation will be like a man who has an unclean spirit go away from him, because the unclean spirit returns with seven other spirits and the final condition of the man becomes worse than the first. 	Matthew 12:44
41209	How will Jesus' generation be like a man who has an unclean spirit go away from him?	Jesus' generation will be like a man who has an unclean spirit go away from him, because the unclean spirit returns with seven other spirits and the final condition of the man becomes worse than the first. 	Matthew 12:45-47
41210	Who did Jesus say are his brother, sister, and mother?	Jesus said that those who do the will of the Father are his brother, sister, and mother. 	Matthew 12:48
41211	Who did Jesus say are his brother, sister, and mother?	Jesus said that those who do the will of the Father are his brother, sister, and mother. 	Matthew 12:49
41212	Who did Jesus say are his brother, sister, and mother?	Jesus said that those who do the will of the Father are his brother, sister, and mother. 	Matthew 12:50
41213	In Jesus' parable of the sower, what happened to the seed that fell on the wayside?	The seed that fell on the wayside was devoured by the birds. 	Matthew 13:4
41214	In Jesus' parable of the sower, what happened to the seed that fell on rocky ground?	The seed that fell on rocky ground immediately sprang up, but was scorched by the sun and withered away. 	Matthew 13:5
41215	In Jesus' parable of the sower, what happened to the seed that fell on rocky ground?	The seed that fell on rocky ground immediately sprang up, but was scorched by the sun and withered away. 	Matthew 13:6
41216	In Jesus' parable of the sower, what happened to the seed that fell among the thorn plants?	The seed that fell among the thorn plants was choked by the thorn plants. 	Matthew 13:7
41217	In Jesus' parable of the sower, what happened to the seed that fell on good soil?	The seed that fell on good soil produced grain, some one hundred times as much, some sixty, and some thirty. 	Matthew 13:8-13
41218	Isaiah's prophecy said that the people would hear and see, but not what?	Isaiah's prophecy said that the people would hear, but would not understand; they would see, but in no way perceive. 	Matthew 13:14
41219	What was wrong with the people who heard Jesus but did not understand?	The people who heard Jesus but did not understand had dull hearts, were heavy of hearing, and had closed their eyes. 	Matthew 13:15-18
41220	In the parable of the sower, what kind of person is the seed sown on the wayside?	The seed sown on the wayside is the person who hears the word of the kingdom but does not understand it, then the evil one comes and snatches away what has been sown in his heart. 	Matthew 13:19
41221	In the parable of the sower, what kind of person is the seed sown on the rocky ground?	The seed sown on the rocky ground is the person who hears the word and receives it with joy immediately, but stumbles immediately when persecution arises. 	Matthew 13:20
41222	In the parable of the sower, what kind of person is the seed sown on the rocky ground?	The seed sown on the rocky ground is the person who hears the word and receives it with joy immediately, but stumbles immediately when persecution arises. 	Matthew 13:21
41223	In the parable of the sower, what kind of person is the seed sown among the thorn plants?	The seed sown among the thorn plants is the person who hears the word, but the cares of the world and the deceitfulness of riches choke the word. 	Matthew 13:22
41224	In the parable of the sower, what kind of person is the seed sown on the good soil?	The seed sown on the good soil is the person who hears the word and understands it, and then produces fruit. 	Matthew 13:23-27
41225	In the parable of the weeds, who sowed the weeds in the field?	An enemy sowed the weeds in the field. 	Matthew 13:28-29
41226	What instructions did the landowner give the servants about the weeds and the wheat?	The landowner told the servants to let both grow together until the harvest, and then to gather the weeds to be burned, and the wheat into the barn. 	Matthew 13:30
41227	In Jesus' parable of the mustard seed, what happens to the tiny mustard seed?	The mustard seed becomes a tree greater than the garden plants so that the birds nest in its branches. 	Matthew 13:31
41228	In Jesus' parable of the mustard seed, what happens to the tiny mustard seed?	The mustard seed becomes a tree greater than the garden plants so that the birds nest in its branches. 	Matthew 13:32
41229	How did Jesus say the kingdom of heaven was like yeast?	Jesus said that the kingdom of heaven was like yeast which was mixed with three measures of flour until it rose. 	Matthew 13:33-36
41230	In the parable of the weeds, who sows the good seed, what is the field, who is the good seed, who are the weeds, and who sowed the weeds?	The sower of the good seed is the Son of Man, the field is the world, the good seed are the sons of the kingdom, the weeds are the sons of the evil one, and the sower of the weeds is the devil. 	Matthew 13:37
41231	In the parable of the weeds, who sows the good seed, what is the field, who is the good seed, who are the weeds, and who sowed the weeds?	The sower of the good seed is the Son of Man, the field is the world, the good seed are the sons of the kingdom, the weeds are the sons of the evil one, and the sower of the weeds is the devil. 	Matthew 13:38
41232	In the parable of the weeds, who sows the good seed, what is the field, who is the good seed, who are the weeds, and who sowed the weeds?	The sower of the good seed is the Son of Man, the field is the world, the good seed are the sons of the kingdom, the weeds are the sons of the evil one, and the sower of the weeds is the devil. 	Matthew 13:39-41
41233	What happens at the end of the world to those who commit iniquity?	At the end of the world, those who commit iniquity are thrown into the furnace of fire. 	Matthew 13:42
41234	What happens at the end of the world to those who are righteous?	At the end of the world, the righteous shine forth like the sun. 	Matthew 13:43
41235	In Jesus' parable, what does the man do who finds in a field the treasure, which represents the kingdom of heaven?	The man who finds the treasure sells everything he possesses and buys the field. 	Matthew 13:44
41236	In Jesus' parable, what does the man do who finds the one pearl of great value, which represents the kingdom of heaven?	The man who finds the one pearl of great value sells everything that he possesses and buys it. 	Matthew 13:45
41237	In Jesus' parable, what does the man do who finds the one pearl of great value, which represents the kingdom of heaven?	The man who finds the one pearl of great value sells everything that he possesses and buys it. 	Matthew 13:46
41238	How is the parable of the fishing net like what will happen at the end of the world?	Just as the worthless things from the net were separated from the good and thrown away, at the end of the world the wicked will be separated from the righteous and thrown into the furnace. 	Matthew 13:47
41239	How is the parable of the fishing net like what will happen at the end of the world?	Just as the worthless things from the net were separated from the good and thrown away, at the end of the world the wicked will be separated from the righteous and thrown into the furnace. 	Matthew 13:48-53
41240	What question did the people from his own region ask about Jesus when they heard Jesus teach?	The people asked, "Where does this man get his wisdom from, and these miracles"? 	Matthew 13:54-56
41241	What did Jesus say happens to a prophet in his own country?	Jesus said that a prophet is without honor in his own country. 	Matthew 13:57
41242	What happened in Jesus' own region because of the people's unbelief?	Because of the people's unbelief, Jesus did not do many miracles in his own region. 	Matthew 13:58
41243	Who did Herod think Jesus was?	Herod thought Jesus was John the Baptist risen from the dead. 	Matthew 14:2-3
41244	What was Herod doing unlawfully, about which John the Baptist told him?	Herod had married his brother's wife. 	Matthew 14:4
41245	Why did Herod not immediately put John the Baptist to death?	Herod did not immediately put John the Baptist to death because he feared the people, who regarded John as a prophet. 	Matthew 14:5-6
41246	What did Herod do after Herodias danced for him on his birthday?	Herod promised with an oath to give Herodias whatever she should ask. 	Matthew 14:7
